Item_set,Sentence,Item_Type,Case,Number,Correct_Resp,Group,Exp_No
31,Mahalleliler ünlü biri kafeye gelince şok olmuşlar.,filler,PL,PL,Yes,A,Exp1
32,Şairler seyirci tarafından beğenilmeyince üzüldüler.,filler,PL,PL,Yes,A,Exp1
33,Patron haftaya bana tüm dosyaları düzenlettirecek.,filler,SG,SG,Yes,A,Exp1
34,Müdür galiba yeni işi yine  bana kitleyecek.,filler,SG,SG,Yes,A,Exp1
35,Teyzem pazara gitmeden kuzenimi bana emanet eder.,filler,SG,SG,Yes,A,Exp1
36,Çocuk dün kedisi kaybolunca çılgına döndü.,filler,SG,SG,Yes,A,Exp1
37,Menajer dizi setindeki bitmeyen kavgalardan bunalmıştır muhtemelen.,filler,SG,SG,Yes,A,Exp1
38,Heykeltıraş kırılan vazoyu kolayca yapıştırınca yenisini almadı.,filler,SG,SG,Yes,A,Exp1
39,Satıcı elmalar kurtlandığı için atmak durumunda kaldı.,filler,SG,SG,Yes,A,Exp1
40,Tiyatrocu yağmurda ıslanan saçını kurulamaya girişti.,filler,SG,SG,Yes,A,Exp1
41,Çocuklar filmi onsuz izlediklerinde çok bozuldu.,filler,PL,SG,Yes,A,Exp1
42,Sekreterler aracılığıyla bana ulaştırılan mesajda hakarete uğradım.,filler,PL,SG,Yes,A,Exp1
43,Gitaristler tarafından hayranlıkla izlenen müzisyen hayatını kaybetti.,filler,PL,SG,Yes,A,Exp1
44,Çiftçiler açısından faydalı olan düzenleme maalesef reddedildi.,filler,PL,SG,Yes,A,Exp1
45,Polisler karşısında çaresiz kalan kadın suskundu.,filler,PL,SG,Yes,A,Exp1
46,Taksiciler karşısında vali ne yapacağını bilemez haldeydi.,filler,PL,SG,Yes,A,Exp1
47,Muhasebeciler açısından sorun olmazsa şirket kredi çekecek.,filler,PL,SG,Yes,A,Exp1
48,Sanatçılar destek verince kameraman kendine geldi.,filler,PL,SG,Yes,A,Exp1
49,Arkadaşım profesörün öğrencisi başarılı olunca çok sevindi.,filler,SG,SG,Yes,A,Exp1
50,Garson patronların yemeğini düşürünce yenisini getirdi.,filler,SG,SG,Yes,A,Exp1
51,Müşteri tamircilerin dükkanını bulamayıp saatlerce sinirle dolaştı.,filler,SG,SG,Yes,A,Exp1
52,Bakıcı valinin çocukları görünmeyince çok gerilmiş.,filler,SG,SG,Yes,A,Exp1
53,Sürücü trafik ışıkları birden bozulursa panikler.,filler,SG,SG,Yes,A,Exp1
54,İzleyici başrol oyuncusunu sokakta görünce çok heyecanlandı.,filler,SG,SG,Yes,A,Exp1
55,Vali  bölge  meclislerinin  seçimini kurulda belirler.,filler,SG,SG,Yes,A,Exp1
56,Öğrenci matematik hocasına tekrar sorarak hata yaptı.,filler,SG,SG,Yes,A,Exp1
57,İşçi dün yaşanan kazada öldüklerinden gazetede okumamış.,filler,SG,SG,No,A,Exp1
58,Sekreter toplantı notların dikkatle yazmadıklarından sinirlendi.,filler,SG,SG,No,A,Exp1
59,Ev arkadaşı belki birini kesin görmüşmüş.,filler,SG,SG,No,A,Exp1
60,Kaptan geminin çarptığından akşam haberlerde izlemedi.,filler,SG,SG,No,A,Exp1
61,Doktor tarafından hastaya ilaçlı serum takmadığını gördü.,filler,SG,SG,No,A,Exp1
62,Kadın beğenmediği mücevherlerde hırsızlık olunca ağlaşıldı.,filler,SG,SG,No,A,Exp1
63,Usta bir gitarist olduğu hayran olundu.,filler,SG,SG,No,A,Exp1
64,Stajyer ofis malzemelerini dün  alacak biliyorum.,filler,SG,SG,No,A,Exp1
65,Öğrenciler fizik yüzünden sınıfta bıraktığına yeni öğrendim.,filler,PL,SG,No,A,Exp1
66,Gazeteciler izleyicinin hemen sonra sahneye çıkılacak.,filler,PL,SG,No,A,Exp1
67,Veterinerler köpeğe dün itinayla bakacak sandım.,filler,PL,SG,No,A,Exp1
68,Gazeteciler izlediğimiz haberi dün  paylaşmayacak bence.,filler,PL,SG,No,A,Exp1
69,Müzisyenler gösteri sonrası  eşini hiç selamlar.,filler,PL,SG,No,A,Exp1
70,Ziyaretçiler hiçbir gün  mahkumun izni var sandı.,filler,PL,SG,No,A,Exp1
71,Yetkililer kantindeki kahveye bir  zam daha getirilmedi.,filler,PL,SG,No,A,Exp1
72,Dansçılar lüks otelde konakladıklarını sanıldı.,filler,PL,SG,No,A,Exp1
25,Müttefikler askeri açıdan önemli avantajlara sahiptirler.,filler,PL,PL,Yes,B,Exp1
26,Yetkililer  havalimanında  daha  etkili bir yaklaşım benimsediler.,filler,PL,PL,Yes,B,Exp1
27,Avrupalılar Hindistan'ı ararken yanlışlıkla Amerika'yı keşfettiler.,filler,PL,PL,Yes,B,Exp1
28,Öğrenciler sınavlarda ülke ortalamasının çok üstündeler.,filler,PL,PL,Yes,B,Exp1
29,Komşular davete katılmayacaklarını kimseye önceden bildirmemişler.,filler,PL,PL,Yes,B,Exp1
30,Teknisyenler hızlı çalıştıklarından işe tekrar çağırıldılar.,filler,PL,PL,Yes,B,Exp1
31,Mahalleliler ünlü biri kafeye gelince şok olmuşlar.,filler,PL,PL,Yes,B,Exp1
32,Şairler seyirci tarafından beğenilmeyince üzüldüler.,filler,PL,PL,Yes,B,Exp1
33,Patron haftaya bana tüm dosyaları düzenlettirecek.,filler,SG,SG,Yes,B,Exp1
34,Müdür galiba yeni işi yine  bana kitleyecek.,filler,SG,SG,Yes,B,Exp1
35,Teyzem pazara gitmeden kuzenimi bana emanet eder.,filler,SG,SG,Yes,B,Exp1
36,Çocuk dün kedisi kaybolunca çılgına döndü.,filler,SG,SG,Yes,B,Exp1
37,Menajer dizi setindeki bitmeyen kavgalardan bunalmıştır muhtemelen.,filler,SG,SG,Yes,B,Exp1
38,Heykeltıraş kırılan vazoyu kolayca yapıştırınca yenisini almadı.,filler,SG,SG,Yes,B,Exp1
39,Satıcı elmalar kurtlandığı için atmak durumunda kaldı.,filler,SG,SG,Yes,B,Exp1
40,Tiyatrocu yağmurda ıslanan saçını kurulamaya girişti.,filler,SG,SG,Yes,B,Exp1
41,Çocuklar filmi onsuz izlediklerinde çok bozuldu.,filler,PL,SG,Yes,B,Exp1
42,Sekreterler aracılığıyla bana ulaştırılan mesajda hakarete uğradım.,filler,PL,SG,Yes,B,Exp1
43,Gitaristler tarafından hayranlıkla izlenen müzisyen hayatını kaybetti.,filler,PL,SG,Yes,B,Exp1
44,Çiftçiler açısından faydalı olan düzenleme maalesef reddedildi.,filler,PL,SG,Yes,B,Exp1
45,Polisler karşısında çaresiz kalan kadın suskundu.,filler,PL,SG,Yes,B,Exp1
46,Taksiciler karşısında vali ne yapacağını bilemez haldeydi.,filler,PL,SG,Yes,B,Exp1
47,Muhasebeciler açısından sorun olmazsa şirket kredi çekecek.,filler,PL,SG,Yes,B,Exp1
48,Sanatçılar destek verince kameraman kendine geldi.,filler,PL,SG,Yes,B,Exp1
49,Arkadaşım profesörün öğrencisi başarılı olunca çok sevindi.,filler,SG,SG,Yes,B,Exp1
50,Garson patronların yemeğini düşürünce yenisini getirdi.,filler,SG,SG,Yes,B,Exp1
51,Müşteri tamircilerin dükkanını bulamayıp saatlerce sinirle dolaştı.,filler,SG,SG,Yes,B,Exp1
52,Bakıcı valinin çocukları görünmeyince çok gerilmiş.,filler,SG,SG,Yes,B,Exp1
53,Sürücü trafik ışıkları birden bozulursa panikler.,filler,SG,SG,Yes,B,Exp1
54,İzleyici başrol oyuncusunu sokakta görünce çok heyecanlandı.,filler,SG,SG,Yes,B,Exp1
55,Vali  bölge  meclislerinin  seçimini kurulda belirler.,filler,SG,SG,Yes,B,Exp1
56,Öğrenci matematik hocasına tekrar sorarak hata yaptı.,filler,SG,SG,Yes,B,Exp1
57,İşçi dün yaşanan kazada öldüklerinden gazetede okumamış.,filler,SG,SG,No,B,Exp1
58,Sekreter toplantı notların dikkatle yazmadıklarından sinirlendi.,filler,SG,SG,No,B,Exp1
59,Ev arkadaşı belki birini kesin görmüşmüş.,filler,SG,SG,No,B,Exp1
60,Kaptan geminin çarptığından akşam haberlerde izlemedi.,filler,SG,SG,No,B,Exp1
61,Doktor tarafından hastaya ilaçlı serum takmadığını gördü.,filler,SG,SG,No,B,Exp1
62,Kadın beğenmediği mücevherlerde hırsızlık olunca ağlaşıldı.,filler,SG,SG,No,B,Exp1
63,Usta bir gitarist olduğu hayran olundu.,filler,SG,SG,No,B,Exp1
64,Stajyer ofis malzemelerini dün  alacak biliyorum.,filler,SG,SG,No,B,Exp1
65,Öğrenciler fizik yüzünden sınıfta bıraktığına yeni öğrendim.,filler,PL,SG,No,B,Exp1
66,Gazeteciler izleyicinin hemen sonra sahneye çıkılacak.,filler,PL,SG,No,B,Exp1
67,Veterinerler köpeğe dün itinayla bakacak sandım.,filler,PL,SG,No,B,Exp1
68,Gazeteciler izlediğimiz haberi dün  paylaşmayacak bence.,filler,PL,SG,No,B,Exp1
69,Müzisyenler gösteri sonrası  eşini hiç selamlar.,filler,PL,SG,No,B,Exp1
70,Ziyaretçiler hiçbir gün  mahkumun izni var sandı.,filler,PL,SG,No,B,Exp1
71,Yetkililer kantindeki kahveye bir  zam daha getirilmedi.,filler,PL,SG,No,B,Exp1
72,Dansçılar lüks otelde konakladıklarını sanıldı.,filler,PL,SG,No,B,Exp1
25,Müttefikler askeri açıdan önemli avantajlara sahiptirler.,filler,PL,PL,Yes,B,Exp1
26,Yetkililer  havalimanında  daha  etkili bir yaklaşım benimsediler.,filler,PL,PL,Yes,B,Exp1
27,Avrupalılar Hindistan'ı ararken yanlışlıkla Amerika'yı keşfettiler.,filler,PL,PL,Yes,B,Exp1
28,Öğrenciler sınavlarda ülke ortalamasının çok üstündeler.,filler,PL,PL,Yes,B,Exp1
29,Komşular davete katılmayacaklarını kimseye önceden bildirmemişler.,filler,PL,PL,Yes,B,Exp1
30,Teknisyenler hızlı çalıştıklarından işe tekrar çağırıldılar.,filler,PL,PL,Yes,B,Exp1
31,Mahalleliler ünlü biri kafeye gelince şok olmuşlar.,filler,PL,PL,Yes,B,Exp1
32,Şairler seyirci tarafından beğenilmeyince üzüldüler.,filler,PL,PL,Yes,B,Exp1
33,Patron haftaya bana tüm dosyaları düzenlettirecek.,filler,SG,SG,Yes,B,Exp1
34,Müdür galiba yeni işi yine  bana kitleyecek.,filler,SG,SG,Yes,B,Exp1
35,Teyzem pazara gitmeden kuzenimi bana emanet eder.,filler,SG,SG,Yes,B,Exp1
36,Çocuk dün kedisi kaybolunca çılgına döndü.,filler,SG,SG,Yes,B,Exp1
37,Menajer dizi setindeki bitmeyen kavgalardan bunalmıştır muhtemelen.,filler,SG,SG,Yes,B,Exp1
38,Heykeltıraş kırılan vazoyu kolayca yapıştırınca yenisini almadı.,filler,SG,SG,Yes,B,Exp1
39,Satıcı elmalar kurtlandığı için atmak durumunda kaldı.,filler,SG,SG,Yes,B,Exp1
40,Tiyatrocu yağmurda ıslanan saçını kurulamaya girişti.,filler,SG,SG,Yes,B,Exp1
41,Çocuklar filmi onsuz izlediklerinde çok bozuldu.,filler,PL,SG,Yes,B,Exp1
42,Sekreterler aracılığıyla bana ulaştırılan mesajda hakarete uğradım.,filler,PL,SG,Yes,B,Exp1
43,Gitaristler tarafından hayranlıkla izlenen müzisyen hayatını kaybetti.,filler,PL,SG,Yes,B,Exp1
44,Çiftçiler açısından faydalı olan düzenleme maalesef reddedildi.,filler,PL,SG,Yes,B,Exp1
45,Polisler karşısında çaresiz kalan kadın suskundu.,filler,PL,SG,Yes,B,Exp1
46,Taksiciler karşısında vali ne yapacağını bilemez haldeydi.,filler,PL,SG,Yes,B,Exp1
47,Muhasebeciler açısından sorun olmazsa şirket kredi çekecek.,filler,PL,SG,Yes,B,Exp1
48,Sanatçılar destek verince kameraman kendine geldi.,filler,PL,SG,Yes,B,Exp1
49,Arkadaşım profesörün öğrencisi başarılı olunca çok sevindi.,filler,SG,SG,Yes,B,Exp1
50,Garson patronların yemeğini düşürünce yenisini getirdi.,filler,SG,SG,Yes,B,Exp1
51,Müşteri tamircilerin dükkanını bulamayıp saatlerce sinirle dolaştı.,filler,SG,SG,Yes,B,Exp1
52,Bakıcı valinin çocukları görünmeyince çok gerilmiş.,filler,SG,SG,Yes,B,Exp1
53,Sürücü trafik ışıkları birden bozulursa panikler.,filler,SG,SG,Yes,B,Exp1
54,İzleyici başrol oyuncusunu sokakta görünce çok heyecanlandı.,filler,SG,SG,Yes,B,Exp1
55,Vali  bölge  meclislerinin  seçimini kurulda belirler.,filler,SG,SG,Yes,B,Exp1
56,Öğrenci matematik hocasına tekrar sorarak hata yaptı.,filler,SG,SG,Yes,B,Exp1
57,İşçi dün yaşanan kazada öldüklerinden gazetede okumamış.,filler,SG,SG,No,B,Exp1
58,Sekreter toplantı notların dikkatle yazmadıklarından sinirlendi.,filler,SG,SG,No,B,Exp1
59,Ev arkadaşı belki birini kesin görmüşmüş.,filler,SG,SG,No,B,Exp1
60,Kaptan geminin çarptığından akşam haberlerde izlemedi.,filler,SG,SG,No,B,Exp1
61,Doktor tarafından hastaya ilaçlı serum takmadığını gördü.,filler,SG,SG,No,B,Exp1
62,Kadın beğenmediği mücevherlerde hırsızlık olunca ağlaşıldı.,filler,SG,SG,No,B,Exp1
63,Usta bir gitarist olduğu hayran olundu.,filler,SG,SG,No,B,Exp1
64,Stajyer ofis malzemelerini dün  alacak biliyorum.,filler,SG,SG,No,B,Exp1
65,Öğrenciler fizik yüzünden sınıfta bıraktığına yeni öğrendim.,filler,PL,SG,No,B,Exp1
66,Gazeteciler izleyicinin hemen sonra sahneye çıkılacak.,filler,PL,SG,No,B,Exp1
67,Veterinerler köpeğe dün itinayla bakacak sandım.,filler,PL,SG,No,B,Exp1
68,Gazeteciler izlediğimiz haberi dün  paylaşmayacak bence.,filler,PL,SG,No,B,Exp1
69,Müzisyenler gösteri sonrası  eşini hiç selamlar.,filler,PL,SG,No,B,Exp1
70,Ziyaretçiler hiçbir gün  mahkumun izni var sandı.,filler,PL,SG,No,B,Exp1
71,Yetkililer kantindeki kahveye bir  zam daha getirilmedi.,filler,PL,SG,No,B,Exp1
72,Dansçılar lüks otelde konakladıklarını sanıldı.,filler,PL,SG,No,B,Exp1
25,Müttefikler askeri açıdan önemli avantajlara sahiptirler.,filler,PL,PL,Yes,B,Exp1
26,Yetkililer  havalimanında  daha  etkili bir yaklaşım benimsediler.,filler,PL,PL,Yes,B,Exp1
27,Avrupalılar Hindistan'ı ararken yanlışlıkla Amerika'yı keşfettiler.,filler,PL,PL,Yes,B,Exp1
28,Öğrenciler sınavlarda ülke ortalamasının çok üstündeler.,filler,PL,PL,Yes,B,Exp1
29,Komşular davete katılmayacaklarını kimseye önceden bildirmemişler.,filler,PL,PL,Yes,B,Exp1
30,Teknisyenler hızlı çalıştıklarından işe tekrar çağırıldılar.,filler,PL,PL,Yes,B,Exp1
31,Mahalleliler ünlü biri kafeye gelince şok olmuşlar.,filler,PL,PL,Yes,B,Exp1
32,Şairler seyirci tarafından beğenilmeyince üzüldüler.,filler,PL,PL,Yes,B,Exp1
33,Patron haftaya bana tüm dosyaları düzenlettirecek.,filler,SG,SG,Yes,B,Exp1
34,Müdür galiba yeni işi yine  bana kitleyecek.,filler,SG,SG,Yes,B,Exp1
35,Teyzem pazara gitmeden kuzenimi bana emanet eder.,filler,SG,SG,Yes,B,Exp1
36,Çocuk dün kedisi kaybolunca çılgına döndü.,filler,SG,SG,Yes,B,Exp1
37,Menajer dizi setindeki bitmeyen kavgalardan bunalmıştır muhtemelen.,filler,SG,SG,Yes,B,Exp1
38,Heykeltıraş kırılan vazoyu kolayca yapıştırınca yenisini almadı.,filler,SG,SG,Yes,B,Exp1
39,Satıcı elmalar kurtlandığı için atmak durumunda kaldı.,filler,SG,SG,Yes,B,Exp1
40,Tiyatrocu yağmurda ıslanan saçını kurulamaya girişti.,filler,SG,SG,Yes,B,Exp1
41,Çocuklar filmi onsuz izlediklerinde çok bozuldu.,filler,PL,SG,Yes,B,Exp1
42,Sekreterler aracılığıyla bana ulaştırılan mesajda hakarete uğradım.,filler,PL,SG,Yes,B,Exp1
43,Gitaristler tarafından hayranlıkla izlenen müzisyen hayatını kaybetti.,filler,PL,SG,Yes,B,Exp1
44,Çiftçiler açısından faydalı olan düzenleme maalesef reddedildi.,filler,PL,SG,Yes,B,Exp1
45,Polisler karşısında çaresiz kalan kadın suskundu.,filler,PL,SG,Yes,B,Exp1
46,Taksiciler karşısında vali ne yapacağını bilemez haldeydi.,filler,PL,SG,Yes,B,Exp1
47,Muhasebeciler açısından sorun olmazsa şirket kredi çekecek.,filler,PL,SG,Yes,B,Exp1
48,Sanatçılar destek verince kameraman kendine geldi.,filler,PL,SG,Yes,B,Exp1
49,Arkadaşım profesörün öğrencisi başarılı olunca çok sevindi.,filler,SG,SG,Yes,B,Exp1
50,Garson patronların yemeğini düşürünce yenisini getirdi.,filler,SG,SG,Yes,B,Exp1
51,Müşteri tamircilerin dükkanını bulamayıp saatlerce sinirle dolaştı.,filler,SG,SG,Yes,B,Exp1
52,Bakıcı valinin çocukları görünmeyince çok gerilmiş.,filler,SG,SG,Yes,B,Exp1
53,Sürücü trafik ışıkları birden bozulursa panikler.,filler,SG,SG,Yes,B,Exp1
54,İzleyici başrol oyuncusunu sokakta görünce çok heyecanlandı.,filler,SG,SG,Yes,B,Exp1
55,Vali  bölge  meclislerinin  seçimini kurulda belirler.,filler,SG,SG,Yes,B,Exp1
56,Öğrenci matematik hocasına tekrar sorarak hata yaptı.,filler,SG,SG,Yes,B,Exp1
57,İşçi dün yaşanan kazada öldüklerinden gazetede okumamış.,filler,SG,SG,No,B,Exp1
58,Sekreter toplantı notların dikkatle yazmadıklarından sinirlendi.,filler,SG,SG,No,B,Exp1
59,Ev arkadaşı belki birini kesin görmüşmüş.,filler,SG,SG,No,B,Exp1
60,Kaptan geminin çarptığından akşam haberlerde izlemedi.,filler,SG,SG,No,B,Exp1
61,Doktor tarafından hastaya ilaçlı serum takmadığını gördü.,filler,SG,SG,No,B,Exp1
62,Kadın beğenmediği mücevherlerde hırsızlık olunca ağlaşıldı.,filler,SG,SG,No,B,Exp1
63,Usta bir gitarist olduğu hayran olundu.,filler,SG,SG,No,B,Exp1
64,Stajyer ofis malzemelerini dün  alacak biliyorum.,filler,SG,SG,No,B,Exp1
65,Öğrenciler fizik yüzünden sınıfta bıraktığına yeni öğrendim.,filler,PL,SG,No,B,Exp1
66,Gazeteciler izleyicinin hemen sonra sahneye çıkılacak.,filler,PL,SG,No,B,Exp1
67,Veterinerler köpeğe dün itinayla bakacak sandım.,filler,PL,SG,No,B,Exp1
68,Gazeteciler izlediğimiz haberi dün  paylaşmayacak bence.,filler,PL,SG,No,B,Exp1
69,Müzisyenler gösteri sonrası  eşini hiç selamlar.,filler,PL,SG,No,B,Exp1
70,Ziyaretçiler hiçbir gün  mahkumun izni var sandı.,filler,PL,SG,No,B,Exp1
71,Yetkililer kantindeki kahveye bir  zam daha getirilmedi.,filler,PL,SG,No,B,Exp1
72,Dansçılar lüks otelde konakladıklarını sanıldı.,filler,PL,SG,No,B,Exp1
25,Müttefikler askeri açıdan önemli avantajlara sahiptirler.,filler,PL,PL,Yes,C,Exp1
26,Yetkililer  havalimanında  daha  etkili bir yaklaşım benimsediler.,filler,PL,PL,Yes,C,Exp1
