Item_set,Sentence,Item_Type,Case,Number,Correct_Resp,Group,Exp_No
27,Avrupalılar Hindistan'ı ararken yanlışlıkla Amerika'yı keşfettiler.,filler,PL,PL,Yes,C,Exp1
28,Öğrenciler sınavlarda ülke ortalamasının çok üstündeler.,filler,PL,PL,Yes,C,Exp1
29,Komşular davete katılmayacaklarını kimseye önceden bildirmemişler.,filler,PL,PL,Yes,C,Exp1
30,Teknisyenler hızlı çalıştıklarından işe tekrar çağırıldılar.,filler,PL,PL,Yes,C,Exp1
31,Mahalleliler ünlü biri kafeye gelince şok olmuşlar.,filler,PL,PL,Yes,C,Exp1
32,Şairler seyirci tarafından beğenilmeyince üzüldüler.,filler,PL,PL,Yes,C,Exp1
33,Patron haftaya bana tüm dosyaları düzenlettirecek.,filler,SG,SG,Yes,C,Exp1
34,Müdür galiba yeni işi yine  bana kitleyecek.,filler,SG,SG,Yes,C,Exp1
35,Teyzem pazara gitmeden kuzenimi bana emanet eder.,filler,SG,SG,Yes,C,Exp1
36,Çocuk dün kedisi kaybolunca çılgına döndü.,filler,SG,SG,Yes,C,Exp1
37,Menajer dizi setindeki bitmeyen kavgalardan bunalmıştır muhtemelen.,filler,SG,SG,Yes,C,Exp1
38,Heykeltıraş kırılan vazoyu kolayca yapıştırınca yenisini almadı.,filler,SG,SG,Yes,C,Exp1
39,Satıcı elmalar kurtlandığı için atmak durumunda kaldı.,filler,SG,SG,Yes,C,Exp1
40,Tiyatrocu yağmurda ıslanan saçını kurulamaya girişti.,filler,SG,SG,Yes,C,Exp1
41,Çocuklar filmi onsuz izlediklerinde çok bozuldu.,filler,PL,SG,Yes,C,Exp1
42,Sekreterler aracılığıyla bana ulaştırılan mesajda hakarete uğradım.,filler,PL,SG,Yes,C,Exp1
43,Gitaristler tarafından hayranlıkla izlenen müzisyen hayatını kaybetti.,filler,PL,SG,Yes,C,Exp1
44,Çiftçiler açısından faydalı olan düzenleme maalesef reddedildi.,filler,PL,SG,Yes,C,Exp1
45,Polisler karşısında çaresiz kalan kadın suskundu.,filler,PL,SG,Yes,C,Exp1
46,Taksiciler karşısında vali ne yapacağını bilemez haldeydi.,filler,PL,SG,Yes,C,Exp1
47,Muhasebeciler açısından sorun olmazsa şirket kredi çekecek.,filler,PL,SG,Yes,C,Exp1
48,Sanatçılar destek verince kameraman kendine geldi.,filler,PL,SG,Yes,C,Exp1
49,Arkadaşım profesörün öğrencisi başarılı olunca çok sevindi.,filler,SG,SG,Yes,C,Exp1
50,Garson patronların yemeğini düşürünce yenisini getirdi.,filler,SG,SG,Yes,C,Exp1
51,Müşteri tamircilerin dükkanını bulamayıp saatlerce sinirle dolaştı.,filler,SG,SG,Yes,C,Exp1
52,Bakıcı valinin çocukları görünmeyince çok gerilmiş.,filler,SG,SG,Yes,C,Exp1
53,Sürücü trafik ışıkları birden bozulursa panikler.,filler,SG,SG,Yes,C,Exp1
54,İzleyici başrol oyuncusunu sokakta görünce çok heyecanlandı.,filler,SG,SG,Yes,C,Exp1
55,Vali  bölge  meclislerinin  seçimini kurulda belirler.,filler,SG,SG,Yes,C,Exp1
56,Öğrenci matematik hocasına tekrar sorarak hata yaptı.,filler,SG,SG,Yes,C,Exp1
57,İşçi dün yaşanan kazada öldüklerinden gazetede okumamış.,filler,SG,SG,No,C,Exp1
58,Sekreter toplantı notların dikkatle yazmadıklarından sinirlendi.,filler,SG,SG,No,C,Exp1
59,Ev arkadaşı belki birini kesin görmüşmüş.,filler,SG,SG,No,C,Exp1
60,Kaptan geminin çarptığından akşam haberlerde izlemedi.,filler,SG,SG,No,C,Exp1
61,Doktor tarafından hastaya ilaçlı serum takmadığını gördü.,filler,SG,SG,No,C,Exp1
62,Kadın beğenmediği mücevherlerde hırsızlık olunca ağlaşıldı.,filler,SG,SG,No,C,Exp1
63,Usta bir gitarist olduğu hayran olundu.,filler,SG,SG,No,C,Exp1
64,Stajyer ofis malzemelerini dün  alacak biliyorum.,filler,SG,SG,No,C,Exp1
65,Öğrenciler fizik yüzünden sınıfta bıraktığına yeni öğrendim.,filler,PL,SG,No,C,Exp1
66,Gazeteciler izleyicinin hemen sonra sahneye çıkılacak.,filler,PL,SG,No,C,Exp1
67,Veterinerler köpeğe dün itinayla bakacak sandım.,filler,PL,SG,No,C,Exp1
68,Gazeteciler izlediğimiz haberi dün  paylaşmayacak bence.,filler,PL,SG,No,C,Exp1
69,Müzisyenler gösteri sonrası  eşini hiç selamlar.,filler,PL,SG,No,C,Exp1
70,Ziyaretçiler hiçbir gün  mahkumun izni var sandı.,filler,PL,SG,No,C,Exp1
71,Yetkililer kantindeki kahveye bir  zam daha getirilmedi.,filler,PL,SG,No,C,Exp1
72,Dansçılar lüks otelde konakladıklarını sanıldı.,filler,PL,SG,No,C,Exp1
25,Müttefikler askeri açıdan önemli avantajlara sahiptirler.,filler,PL,PL,Yes,D,Exp1
26,Yetkililer  havalimanında  daha  etkili bir yaklaşım benimsediler.,filler,PL,PL,Yes,D,Exp1
27,Avrupalılar Hindistan'ı ararken yanlışlıkla Amerika'yı keşfettiler.,filler,PL,PL,Yes,D,Exp1
28,Öğrenciler sınavlarda ülke ortalamasının çok üstündeler.,filler,PL,PL,Yes,D,Exp1
29,Komşular davete katılmayacaklarını kimseye önceden bildirmemişler.,filler,PL,PL,Yes,D,Exp1
30,Teknisyenler hızlı çalıştıklarından işe tekrar çağırıldılar.,filler,PL,PL,Yes,D,Exp1
31,Mahalleliler ünlü biri kafeye gelince şok olmuşlar.,filler,PL,PL,Yes,D,Exp1
32,Şairler seyirci tarafından beğenilmeyince üzüldüler.,filler,PL,PL,Yes,D,Exp1
33,Patron haftaya bana tüm dosyaları düzenlettirecek.,filler,SG,SG,Yes,D,Exp1
34,Müdür galiba yeni işi yine  bana kitleyecek.,filler,SG,SG,Yes,D,Exp1
35,Teyzem pazara gitmeden kuzenimi bana emanet eder.,filler,SG,SG,Yes,D,Exp1
36,Çocuk dün kedisi kaybolunca çılgına döndü.,filler,SG,SG,Yes,D,Exp1
37,Menajer dizi setindeki bitmeyen kavgalardan bunalmıştır muhtemelen.,filler,SG,SG,Yes,D,Exp1
38,Heykeltıraş kırılan vazoyu kolayca yapıştırınca yenisini almadı.,filler,SG,SG,Yes,D,Exp1
39,Satıcı elmalar kurtlandığı için atmak durumunda kaldı.,filler,SG,SG,Yes,D,Exp1
40,Tiyatrocu yağmurda ıslanan saçını kurulamaya girişti.,filler,SG,SG,Yes,D,Exp1
41,Çocuklar filmi onsuz izlediklerinde çok bozuldu.,filler,PL,SG,Yes,D,Exp1
42,Sekreterler aracılığıyla bana ulaştırılan mesajda hakarete uğradım.,filler,PL,SG,Yes,D,Exp1
43,Gitaristler tarafından hayranlıkla izlenen müzisyen hayatını kaybetti.,filler,PL,SG,Yes,D,Exp1
44,Çiftçiler açısından faydalı olan düzenleme maalesef reddedildi.,filler,PL,SG,Yes,D,Exp1
45,Polisler karşısında çaresiz kalan kadın suskundu.,filler,PL,SG,Yes,D,Exp1
46,Taksiciler karşısında vali ne yapacağını bilemez haldeydi.,filler,PL,SG,Yes,D,Exp1
47,Muhasebeciler açısından sorun olmazsa şirket kredi çekecek.,filler,PL,SG,Yes,D,Exp1
48,Sanatçılar destek verince kameraman kendine geldi.,filler,PL,SG,Yes,D,Exp1
49,Arkadaşım profesörün öğrencisi başarılı olunca çok sevindi.,filler,SG,SG,Yes,D,Exp1
50,Garson patronların yemeğini düşürünce yenisini getirdi.,filler,SG,SG,Yes,D,Exp1
51,Müşteri tamircilerin dükkanını bulamayıp saatlerce sinirle dolaştı.,filler,SG,SG,Yes,D,Exp1
52,Bakıcı valinin çocukları görünmeyince çok gerilmiş.,filler,SG,SG,Yes,D,Exp1
53,Sürücü trafik ışıkları birden bozulursa panikler.,filler,SG,SG,Yes,D,Exp1
54,İzleyici başrol oyuncusunu sokakta görünce çok heyecanlandı.,filler,SG,SG,Yes,D,Exp1
55,Vali  bölge  meclislerinin  seçimini kurulda belirler.,filler,SG,SG,Yes,D,Exp1
56,Öğrenci matematik hocasına tekrar sorarak hata yaptı.,filler,SG,SG,Yes,D,Exp1
57,İşçi dün yaşanan kazada öldüklerinden gazetede okumamış.,filler,SG,SG,No,D,Exp1
58,Sekreter toplantı notların dikkatle yazmadıklarından sinirlendi.,filler,SG,SG,No,D,Exp1
59,Ev arkadaşı belki birini kesin görmüşmüş.,filler,SG,SG,No,D,Exp1
60,Kaptan geminin çarptığından akşam haberlerde izlemedi.,filler,SG,SG,No,D,Exp1
61,Doktor tarafından hastaya ilaçlı serum takmadığını gördü.,filler,SG,SG,No,D,Exp1
62,Kadın beğenmediği mücevherlerde hırsızlık olunca ağlaşıldı.,filler,SG,SG,No,D,Exp1
63,Usta bir gitarist olduğu hayran olundu.,filler,SG,SG,No,D,Exp1
64,Stajyer ofis malzemelerini dün  alacak biliyorum.,filler,SG,SG,No,D,Exp1
65,Öğrenciler fizik yüzünden sınıfta bıraktığına yeni öğrendim.,filler,PL,SG,No,D,Exp1
66,Gazeteciler izleyicinin hemen sonra sahneye çıkılacak.,filler,PL,SG,No,D,Exp1
67,Veterinerler köpeğe dün itinayla bakacak sandım.,filler,PL,SG,No,D,Exp1
68,Gazeteciler izlediğimiz haberi dün  paylaşmayacak bence.,filler,PL,SG,No,D,Exp1
69,Müzisyenler gösteri sonrası  eşini hiç selamlar.,filler,PL,SG,No,D,Exp1
70,Ziyaretçiler hiçbir gün  mahkumun izni var sandı.,filler,PL,SG,No,D,Exp1
71,Yetkililer kantindeki kahveye bir  zam daha getirilmedi.,filler,PL,SG,No,D,Exp1
72,Dansçılar lüks otelde konakladıklarını sanıldı.,filler,PL,SG,No,D,Exp1
25,Müttefikler askeri açıdan önemli avantajlara sahiptirler.,filler,PL,PL,Yes,E,Exp1
26,Yetkililer  havalimanında  daha  etkili bir yaklaşım benimsediler.,filler,PL,PL,Yes,E,Exp1
27,Avrupalılar Hindistan'ı ararken yanlışlıkla Amerika'yı keşfettiler.,filler,PL,PL,Yes,E,Exp1
28,Öğrenciler sınavlarda ülke ortalamasının çok üstündeler.,filler,PL,PL,Yes,E,Exp1
29,Komşular davete katılmayacaklarını kimseye önceden bildirmemişler.,filler,PL,PL,Yes,E,Exp1
30,Teknisyenler hızlı çalıştıklarından işe tekrar çağırıldılar.,filler,PL,PL,Yes,E,Exp1
31,Mahalleliler ünlü biri kafeye gelince şok olmuşlar.,filler,PL,PL,Yes,E,Exp1
32,Şairler seyirci tarafından beğenilmeyince üzüldüler.,filler,PL,PL,Yes,E,Exp1
33,Patron haftaya bana tüm dosyaları düzenlettirecek.,filler,SG,SG,Yes,E,Exp1
34,Müdür galiba yeni işi yine  bana kitleyecek.,filler,SG,SG,Yes,E,Exp1
35,Teyzem pazara gitmeden kuzenimi bana emanet eder.,filler,SG,SG,Yes,E,Exp1
36,Çocuk dün kedisi kaybolunca çılgına döndü.,filler,SG,SG,Yes,E,Exp1
37,Menajer dizi setindeki bitmeyen kavgalardan bunalmıştır muhtemelen.,filler,SG,SG,Yes,E,Exp1
38,Heykeltıraş kırılan vazoyu kolayca yapıştırınca yenisini almadı.,filler,SG,SG,Yes,E,Exp1
39,Satıcı elmalar kurtlandığı için atmak durumunda kaldı.,filler,SG,SG,Yes,E,Exp1
40,Tiyatrocu yağmurda ıslanan saçını kurulamaya girişti.,filler,SG,SG,Yes,E,Exp1
41,Çocuklar filmi onsuz izlediklerinde çok bozuldu.,filler,PL,SG,Yes,E,Exp1
42,Sekreterler aracılığıyla bana ulaştırılan mesajda hakarete uğradım.,filler,PL,SG,Yes,E,Exp1
43,Gitaristler tarafından hayranlıkla izlenen müzisyen hayatını kaybetti.,filler,PL,SG,Yes,E,Exp1
44,Çiftçiler açısından faydalı olan düzenleme maalesef reddedildi.,filler,PL,SG,Yes,E,Exp1
45,Polisler karşısında çaresiz kalan kadın suskundu.,filler,PL,SG,Yes,E,Exp1
46,Taksiciler karşısında vali ne yapacağını bilemez haldeydi.,filler,PL,SG,Yes,E,Exp1
47,Muhasebeciler açısından sorun olmazsa şirket kredi çekecek.,filler,PL,SG,Yes,E,Exp1
48,Sanatçılar destek verince kameraman kendine geldi.,filler,PL,SG,Yes,E,Exp1
49,Arkadaşım profesörün öğrencisi başarılı olunca çok sevindi.,filler,SG,SG,Yes,E,Exp1
50,Garson patronların yemeğini düşürünce yenisini getirdi.,filler,SG,SG,Yes,E,Exp1
51,Müşteri tamircilerin dükkanını bulamayıp saatlerce sinirle dolaştı.,filler,SG,SG,Yes,E,Exp1
52,Bakıcı valinin çocukları görünmeyince çok gerilmiş.,filler,SG,SG,Yes,E,Exp1
53,Sürücü trafik ışıkları birden bozulursa panikler.,filler,SG,SG,Yes,E,Exp1
54,İzleyici başrol oyuncusunu sokakta görünce çok heyecanlandı.,filler,SG,SG,Yes,E,Exp1
55,Vali  bölge  meclislerinin  seçimini kurulda belirler.,filler,SG,SG,Yes,E,Exp1
56,Öğrenci matematik hocasına tekrar sorarak hata yaptı.,filler,SG,SG,Yes,E,Exp1
57,İşçi dün yaşanan kazada öldüklerinden gazetede okumamış.,filler,SG,SG,No,E,Exp1
58,Sekreter toplantı notların dikkatle yazmadıklarından sinirlendi.,filler,SG,SG,No,E,Exp1
59,Ev arkadaşı belki birini kesin görmüşmüş.,filler,SG,SG,No,E,Exp1
60,Kaptan geminin çarptığından akşam haberlerde izlemedi.,filler,SG,SG,No,E,Exp1
61,Doktor tarafından hastaya ilaçlı serum takmadığını gördü.,filler,SG,SG,No,E,Exp1
62,Kadın beğenmediği mücevherlerde hırsızlık olunca ağlaşıldı.,filler,SG,SG,No,E,Exp1
63,Usta bir gitarist olduğu hayran olundu.,filler,SG,SG,No,E,Exp1
64,Stajyer ofis malzemelerini dün  alacak biliyorum.,filler,SG,SG,No,E,Exp1
65,Öğrenciler fizik yüzünden sınıfta bıraktığına yeni öğrendim.,filler,PL,SG,No,E,Exp1
66,Gazeteciler izleyicinin hemen sonra sahneye çıkılacak.,filler,PL,SG,No,E,Exp1
67,Veterinerler köpeğe dün itinayla bakacak sandım.,filler,PL,SG,No,E,Exp1
68,Gazeteciler izlediğimiz haberi dün  paylaşmayacak bence.,filler,PL,SG,No,E,Exp1
69,Müzisyenler gösteri sonrası  eşini hiç selamlar.,filler,PL,SG,No,E,Exp1
70,Ziyaretçiler hiçbir gün  mahkumun izni var sandı.,filler,PL,SG,No,E,Exp1
71,Yetkililer kantindeki kahveye bir  zam daha getirilmedi.,filler,PL,SG,No,E,Exp1
72,Dansçılar lüks otelde konakladıklarını sanıldı.,filler,PL,SG,No,E,Exp1
25,Müttefikler askeri açıdan önemli avantajlara sahiptirler.,filler,PL,PL,Yes,F,Exp1
26,Yetkililer  havalimanında  daha  etkili bir yaklaşım benimsediler.,filler,PL,PL,Yes,F,Exp1
27,Avrupalılar Hindistan'ı ararken yanlışlıkla Amerika'yı keşfettiler.,filler,PL,PL,Yes,F,Exp1
28,Öğrenciler sınavlarda ülke ortalamasının çok üstündeler.,filler,PL,PL,Yes,F,Exp1
29,Komşular davete katılmayacaklarını kimseye önceden bildirmemişler.,filler,PL,PL,Yes,F,Exp1
30,Teknisyenler hızlı çalıştıklarından işe tekrar çağırıldılar.,filler,PL,PL,Yes,F,Exp1
31,Mahalleliler ünlü biri kafeye gelince şok olmuşlar.,filler,PL,PL,Yes,F,Exp1
32,Şairler seyirci tarafından beğenilmeyince üzüldüler.,filler,PL,PL,Yes,F,Exp1
33,Patron haftaya bana tüm dosyaları düzenlettirecek.,filler,SG,SG,Yes,F,Exp1
34,Müdür galiba yeni işi yine  bana kitleyecek.,filler,SG,SG,Yes,F,Exp1
35,Teyzem pazara gitmeden kuzenimi bana emanet eder.,filler,SG,SG,Yes,F,Exp1
36,Çocuk dün kedisi kaybolunca çılgına döndü.,filler,SG,SG,Yes,F,Exp1
37,Menajer dizi setindeki bitmeyen kavgalardan bunalmıştır muhtemelen.,filler,SG,SG,Yes,F,Exp1
38,Heykeltıraş kırılan vazoyu kolayca yapıştırınca yenisini almadı.,filler,SG,SG,Yes,F,Exp1
39,Satıcı elmalar kurtlandığı için atmak durumunda kaldı.,filler,SG,SG,Yes,F,Exp1
40,Tiyatrocu yağmurda ıslanan saçını kurulamaya girişti.,filler,SG,SG,Yes,F,Exp1
41,Çocuklar filmi onsuz izlediklerinde çok bozuldu.,filler,PL,SG,Yes,F,Exp1
42,Sekreterler aracılığıyla bana ulaştırılan mesajda hakarete uğradım.,filler,PL,SG,Yes,F,Exp1
43,Gitaristler tarafından hayranlıkla izlenen müzisyen hayatını kaybetti.,filler,PL,SG,Yes,F,Exp1
44,Çiftçiler açısından faydalı olan düzenleme maalesef reddedildi.,filler,PL,SG,Yes,F,Exp1
45,Polisler karşısında çaresiz kalan kadın suskundu.,filler,PL,SG,Yes,F,Exp1
46,Taksiciler karşısında vali ne yapacağını bilemez haldeydi.,filler,PL,SG,Yes,F,Exp1
47,Muhasebeciler açısından sorun olmazsa şirket kredi çekecek.,filler,PL,SG,Yes,F,Exp1
48,Sanatçılar destek verince kameraman kendine geldi.,filler,PL,SG,Yes,F,Exp1
49,Arkadaşım profesörün öğrencisi başarılı olunca çok sevindi.,filler,SG,SG,Yes,F,Exp1
50,Garson patronların yemeğini düşürünce yenisini getirdi.,filler,SG,SG,Yes,F,Exp1
51,Müşteri tamircilerin dükkanını bulamayıp saatlerce sinirle dolaştı.,filler,SG,SG,Yes,F,Exp1
52,Bakıcı valinin çocukları görünmeyince çok gerilmiş.,filler,SG,SG,Yes,F,Exp1
53,Sürücü trafik ışıkları birden bozulursa panikler.,filler,SG,SG,Yes,F,Exp1
54,İzleyici başrol oyuncusunu sokakta görünce çok heyecanlandı.,filler,SG,SG,Yes,F,Exp1
55,Vali  bölge  meclislerinin  seçimini kurulda belirler.,filler,SG,SG,Yes,F,Exp1
56,Öğrenci matematik hocasına tekrar sorarak hata yaptı.,filler,SG,SG,Yes,F,Exp1
57,İşçi dün yaşanan kazada öldüklerinden gazetede okumamış.,filler,SG,SG,No,F,Exp1
58,Sekreter toplantı notların dikkatle yazmadıklarından sinirlendi.,filler,SG,SG,No,F,Exp1
59,Ev arkadaşı belki birini kesin görmüşmüş.,filler,SG,SG,No,F,Exp1
60,Kaptan geminin çarptığından akşam haberlerde izlemedi.,filler,SG,SG,No,F,Exp1
61,Doktor tarafından hastaya ilaçlı serum takmadığını gördü.,filler,SG,SG,No,F,Exp1
62,Kadın beğenmediği mücevherlerde hırsızlık olunca ağlaşıldı.,filler,SG,SG,No,F,Exp1
63,Usta bir gitarist olduğu hayran olundu.,filler,SG,SG,No,F,Exp1
64,Stajyer ofis malzemelerini dün  alacak biliyorum.,filler,SG,SG,No,F,Exp1
65,Öğrenciler fizik yüzünden sınıfta bıraktığına yeni öğrendim.,filler,PL,SG,No,F,Exp1
66,Gazeteciler izleyicinin hemen sonra sahneye çıkılacak.,filler,PL,SG,No,F,Exp1
67,Veterinerler köpeğe dün itinayla bakacak sandım.,filler,PL,SG,No,F,Exp1
68,Gazeteciler izlediğimiz haberi dün  paylaşmayacak bence.,filler,PL,SG,No,F,Exp1
69,Müzisyenler gösteri sonrası  eşini hiç selamlar.,filler,PL,SG,No,F,Exp1
70,Ziyaretçiler hiçbir gün  mahkumun izni var sandı.,filler,PL,SG,No,F,Exp1
71,Yetkililer kantindeki kahveye bir  zam daha getirilmedi.,filler,PL,SG,No,F,Exp1
72,Dansçılar lüks otelde konakladıklarını sanıldı.,filler,PL,SG,No,F,Exp1